,variable,descriptions
106,K2Q61A,"Do [S.C.]'s medical, behavioral, or other health conditions interfere with [his/her] ability to attend school on a regular basis?"
107,K2Q61B,"Do [S.C.]'s medical, behavioral, or other health conditions interfere with [his/her] ability to participate in sports, clubs, or other organized activities?"
108,K2Q61C,"Do [S.C.]'s medical, behavioral, or other health conditions interfere with [his/her] ability to make friends?"
109,K2Q81,Has [S.C.] received a tetanus booster shot or Td or Tdap shot since [he/she] turned 11 years of age?
110,K2Q82,"Has [S.C.] ever received a meningitis shot, sometimes called MENACTRA or MENOMUNE?"
111,K2Q83,Has [S.C.] ever received any HPV shots?
112,K2Q84,Please tell me how many HPV shots [S.C.] has received.
113,K2Q85,Did a doctor or health care provider recommend that [S.C.] receive HPV shots?
114,K3Q01,"Does [S.C.] have any kind of health care coverage, including health insurance, prepaid plans such as HMOs, or government plans such as Medicaid?"
115,K3Q02,"[Is that coverage / Is [he/she] insured by] Medicaid or the State Children's Health Insurance Program, SCHIP? In this state, the program is sometimes called [FILL MEDICAID NAME, SCHIP NAME]."
116,K3Q03,"[During the past 12 months / Since [his/her] birth], was there any time when [he/she] was not covered by ANY health insurance? H:\Data\NSCH 2007\PUF01\create_formatted_frequencies.lst 4 2007 NSCH Public Use File Variables The CONTENTS Procedure Variables in Creation Order # Variable Type Len Format Label"
117,K3Q04,"[During the past 12 months / Since [his/her] birth], was there any time when [he/she] had health care coverage?"
118,K3Q20,Does [S.C.]'s health insurance offer benefits or cover services that meet [his/her] needs?
119,K3Q22,Does [S.C.]'s health insurance allow [him/her] to see the health care providers [he/she] needs?
120,K3Q21A,"Not including health insurance premiums or costs that are covered by insurance, do you pay any money for [S.C.]'s health care?"
121,K3Q21B,How often are these costs reasonable?
122,K4Q01,Is there a place that [S.C.] USUALLY goes when [he/she] is sick or you need advice about [his/her] health?
123,K4Q02R,Derived -Place of Health Care after Back Coding Other Place Response
124,K4Q04,Do you have one or more persons you think of as [S.C.]'s personal doctor or nurse?
125,K4Q20R,"How many times did [S.C.] see a doctor, nurse, or other health care provider for preventive medical care such as a physical exam or well-child checkup?"
126,K4Q21R,"[During the past 12 months / Since [his/her] birth], how many times did [S.C.] see a dentist for preventive dental care, such as check-ups and dental cleanings?"
127,K4Q22,"During the past 12 months, has [S.C.] received any treatment or counseling from a mental health professional?"
128,K4Q23,"During the past 12 months, has [S.C.] taken any medication because of difficulties with [his/her] emotions, concentration, or behavior?"
129,K4Q24,"[During the past 12 months / Since [his/her] birth], did [S.C.] see a specialist [other than a mental health professional]?"
130,K4Q25,"[During the past 12 months / Since [his/her] birth], did you or a doctor think that [he/she] needed to see a specialist?"
131,K4Q26,"[During the past 12 months / Since [his/her] birth], how much of a problem, if any, was it to get the care from the specialists that [S.C.] needed?"
132,K4Q27,"[During the past 12 months / Since [his/her] birth], was there any time when [S.C.] needed health care but it was delayed or not received?"
133,K4Q28X01,What type of care was delayed or not received -Medical Care.
134,K4Q28X02,What type of care was delayed or not received -Dental Care.
135,K4Q28X03,What type of care was delayed or not received -Mental Health Services.
136,K4Q28X04,What type of care was delayed or not received -Something Else.
137,K5Q10,"[During the past 12 months / Since [his/her] birth], did [S.C.] need a referral to see any doctors or receive any services?"
138,K5Q11,"Was getting referrals a big problem, a small problem, or not a problem?"
139,K5Q20,Does anyone help you arrange or coordinate [S.C.]'s care among the different doctors or services that [he/she] uses?
140,K5Q21,"[During the past 12 months / Since [his/her] birth], have you felt that you could have used extra help arranging or coordinating [S.C.]'s care among the different health care providers or services?"
141,K5Q22,"[During the past 12 months / Since [his/her] birth], how often did you get as much help as you wanted with arranging or coordinating [S.C.]'s care?"
142,K5Q30,"Overall, are you very satisfied, somewhat satisfied, somewhat dissatisfied, or very dissatisfied with the communication among [S.C.]'s doctors and other health care providers?"
143,K5Q31,"Do [S.C.]'s doctors or other health care providers need to communicate with [his/her] [child care providers, early intervention program, school, special education program, vocational education program]?"
144,K5Q32,"Overall, are you very satisfied, somewhat satisfied, somewhat dissatisfied, or very dissatisfied with that communication?"
145,K5Q40,"[During the past 12 months / Since [his/her] birth], how often did [S.C.]'s doctors and other health care providers spend enough time with [him/her]?"
146,K5Q41,"[During the past 12 months / Since [his/her] birth], how often did [S.C.]'s doctors and other health care providers listen carefully to you?"
147,K5Q42,"When [S.C.] is seen by doctors or other health care providers, how often are they sensitive to your family's values and customs?"
148,K5Q43,"[During the past 12 months / Since [his/her] birth], how often did you get the specific information you needed from [S.C.]'s doctors and other health care providers?"
149,K5Q44,"[During the past 12 months / Since [his/her] birth], how often did [S.C.]'s doctors or other health care providers help you feel like a partner in [his/her] care?"
150,K5Q45,"[During the past 12 months / Since [S.C.]'s birth], did you [or [S.C.]] need an interpreter to help speak with [his/her] doctors or other health care providers?"
151,K5Q46,"When you [or [S.C.]] needed an interpreter, how often were you able to get someone other than a family member to help you speak with [his/her] doctors or other health care providers?"
152,K6Q01,"Do you have any concerns about [S.C.]'s learning, development, or behavior?"
153,K6Q02,"Are you concerned a lot, a little, or not at all about how [S.C.] talks and makes speech sounds?"
154,K6Q03,"Are you concerned a lot, a little, or not at all about how [he/she] understands what you say?"
155,K6Q04,"Are you concerned a lot, a little, or not at all about how [he/she] uses [his/her] hands and fingers to do things?"
156,K6Q05,"Are you concerned a lot, a little, or not at all about how [he/she] uses [his/her] arms and legs?"
157,K6Q06,"Are you concerned a lot, a little, or not at all about how [he/she] behaves?"
158,K6Q07,"Are you concerned a lot, a little, or not at all about how [he/she] gets along with others?"
159,K6Q08,"Are you concerned a lot, a little, or not at all about how [he/she] is learning to do things for [himself/herself]?"
160,K6Q09,"Are you concerned a lot, a little, or not at all about how [he/she] is learning pre-school or school skills?"
161,K6Q10,"[During the past 12 months / Since [S.C.]'s birth], did [S.C.]'s doctors or other health care providers ask if you have concerns about [his/her] learning, development, or behavior? H:\Data\NSCH 2007\PUF01\create_formatted_frequencies.lst 5 2007 NSCH Public Use File Variables The CONTENTS Procedure Variables in Creation Order # Variable Type Len Format Label"
162,K6Q11,"Did [his/her] doctors or other health care providers give you specific information to address your concerns about [his/her] learning, development, or behavior?"
163,K6Q12,"Did a doctor or other health care provider have you fill out a questionnaire about specific concerns or observations you may have about [S.C.]'s development, communication, or social behaviors?"
164,K6Q13A,Did this questionnaire ask about your concerns or observations about how [S.C.] talks or makes speech sounds?
165,K6Q13B,Did this questionnaire ask about your concerns or observations about how [S.C.] interacts with you and others?
166,K6Q14A,Did this questionnaire ask about your concerns or observations about words and phrases [S.C.] uses and understands?
167,K6Q14B,Did this questionnaire ask about your concerns or observations about how [S.C.] behaves and gets along with you and others?
168,K6Q15,Does [S.C.] have any developmental problems for which [he/she] has a written intervention plan called an [Individualized Family Services Plan or an IFSP / Individualized Education Program or IEP]?
169,K6Q20,Does [S.C.] receive care for at least 10 hours per week from someone not related to [him/her]?
170,K6Q20BX01,"Was this care provided in your home, someone else's home, or in a center such as a school or day care facility -Own home."
171,K6Q20BX02,"Was this care provided in your home, someone else's home, or in a center such as a school or day care facility -Someone else's home."
172,K6Q20BX03,"Was this care provided in your home, someone else's home, or in a center such as a school or day care facility -Center."
173,K6Q21,Does [S.C.] receive care for at least 10 hours per week from a relative other than [you or] [his/her] parents or guardians?
174,K6Q22,Was this care provided in your home or somewhere else?
175,K6Q25A,"During the past month, did you need child care for [S.C.]?"
176,K6Q25B,Does [S.C.]'s behavior limit your ability to find child care for [him/her]?
177,K6Q25C,Does [S.C.]'s health limit your ability to find child care for [him/her]?
178,K6Q26,"During the past month, how many times have you had to make different arrangements for child care at the last minute due to circumstances beyond your control?"
179,K6Q27,"[During the past 12 months / Since [S.C.]'s birth] did you or anyone in the family have to quit a job, not take a job, or greatly change your job because of problems with child care for [S.C.]?"
180,K6Q30,[During the past 12 months / Since [S.C.]'s birth] has [S.C.] been injured and required medical attention?
181,K6Q31X01,"Did the injury occur at home, at child care, or some other place -Home."
182,K6Q31X02,"Did the injury occur at home, at child care, or some other place -Child care."
183,K6Q31X03,"Did the injury occur at home, at child care, or some other place -Some other place."
184,K6Q40,Was [S.C.] ever breastfed or fed breast milk?
185,K6Q41R,How old was [he/she] when [he/she] completely stopped breastfeeding or being fed breast milk? (STANDARDIZED TO AGE IN DAYS AND TOP CODED)
186,K6Q42R,old was the SC when [he/she] was first fed formula? (STANDARDIZED TO AGE IN DAYS)
187,K6Q43R,old was SC when [he/she] was first fed anything other than breast milk or formula? (STANDARDIZED TO AGE IN DAYS)
188,K6Q60,"During the past week, how many days did you or other family members read to [S.C.]?"
189,K6Q61,"During the past week, how many days did you or other family members tell stories or sing songs to [S.C.]?"
190,K6Q63,"During the past week, how many days did [S.C.] play with other children [his/her] age?"
191,K6Q64,"During the past week, how many days did you or any family member take [S.C.] on any kind of outing, such as to the park, library, zoo, shopping, church, restaurants, or family gatherings?"
192,K6Q65,"On an average weekday, about how much time does [S.C.] usually watch TV or watch videos?"
193,K6Q65A,Period.
194,K7Q01,"[During the last school year / Currently], what kind of school [was/is] [S.C.] enrolled in?"
195,K7Q01F,"At any time during the past 12 months, was [S.C.] enrolled in a public school, a private school, or home school?"
196,K7Q02R,"During the past 12 months, that is, since [CURRENT MONTH, 1 YEAR AGO], about how many days did [S.C.] miss school because of illness or injury?"
197,K7Q04R,"During the past 12 months, how many times has [S.C.]'s school contacted you or another adult in your household about any problems [he/she] is having with school?"
198,K7Q05,"Since starting kindergarten, has [he/she] repeated any grades?"
199,K7Q11,"Does [S.C.] have a health problem, condition, or disability for which [he/she] has a written intervention plan called an Individualized Education Program or IEP?"
200,K7Q30,"During the past 12 months, was [S.C.] on a sports team or did [he/she] take sports lessons after school or on weekends?"
201,K7Q31,"During the past 12 months, did [he/she] participate in any clubs or organizations after school or on weekends?"
202,K7Q32,"During the past 12 months, did [he/she] participate in any other organized events or activities?"
203,K7Q33,"During the past 12 months, how often did you attend events or activities that [S.C.] participated in?"
204,K7Q34,"Regarding [S.C.]'s friends, would you say that you have met all of [his/her] friends, most of [his/her] friends, some of [his/her] friends, or none of [his/her] friends?"
205,K7Q35,"During the past week, did [S.C.] take care of [himself/herself] or stay alone without an adult or teenager, even for a small amount of time?"
206,K7Q36,"During the past week, how many hours did [S.C.] take care of [himself/herself]?"
207,K7Q37,"During the past 12 months, how often has [S.C.] been involved in any type of community service or volunteer work at school, church, or in the community?"
208,K7Q38,"During the past week, did [S.C.] earn money from any work, including regular jobs as well as babysitting, cutting grass, or other occasional work?"
209,K7Q39,"During the past week, how many hours did [S.C.] work for pay? H:\Data\NSCH 2007\PUF01\create_formatted_frequencies.lst 6 2007 NSCH Public Use File Variables The CONTENTS Procedure Variables in Creation Order # Variable Type Len Format Label"
210,K7Q40,"During the past week, on how many nights did [S.C.] get enough sleep for a child [his/her] age?"
211,K7Q41,"During the past week, on how many days did [S.C.] exercise, play a sport, or participate in physical activity for at least 20 minutes that made [him/her] sweat and breathe hard?"
212,K7Q50,"On an average weekday, about how much time does [he/she] usually spend reading for pleasure?"
213,K7Q50A,Period.
214,K7Q51,"On an average weekday, about how much time does [S.C.] use a computer for purposes other than schoolwork?"
215,K7Q51A,Period.
216,K7Q60,"On an average weekday, about how much time does [S.C.] usually watch TV, watch videos, or play video games?"
217,K7Q60A,Period.
218,K7Q61,Are there family rules about what television programs [he/she] is allowed to watch?
219,K7Q62,Is there a television in [S.C.]'s bedroom?
220,K7Q70,[He/She] argues too much
221,K7Q71,[He/She] bullies or is cruel or mean to others
222,K7Q72,[He/She] shows respect for teachers and neighbors
223,K7Q73,[He/She] gets along well with other children
224,K7Q74,[He/She] is disobedient
225,K7Q75,"[He/She] is stubborn, sullen, or irritable"
226,K7Q76,[He/She] tries to understand other people's feelings
227,K7Q77,"[He/She] tries to resolve conflicts with classmates, family, or friends"
228,K7Q78,[He/She] feels worthless or inferior
229,K7Q79,"[He/She] is unhappy, sad, or depressed"
230,K7Q80,"[He/She] is withdrawn, and does not get involved with others"
231,K7Q82,[He/She] cares about doing well in school
232,K7Q83,[He/She] does all required homework
233,K8Q12R,About how often does [S.C.] attend a religious service?
234,K8Q11,"During the past week, on how many days did all the family members who live in the household eat a meal together?"
235,K8Q21,How well can you and [S.C.] share ideas or talk about things that really matter?
236,K8Q30,"In general, how well do you feel you are coping with the day to day demands of [parenthood / raising children]?"
237,K8Q31,"During the past month, how often have you felt [S.C.] is much harder to care for than most children [his/her] age?"
238,K8Q32,"During the past month, how often have you felt [he/she] does things that really bother you a lot?"
239,K8Q34,"During the past month, how often have you felt angry with [him/her]?"
240,K8Q35,Is there someone that you can turn to for day-to-day emotional help with [parenthood / raising children]?
241,TOTADULT3,Total number of adults in the household -Top Coded at 3 or more
242,FAMSTRUCT,Family structure type
243,K9Q16R,How old [are you / is [S.C.]'s [MOTHER TYPE]]?
244,MARCOH_PAR,Derived: Marital/Cohabitation Status of Child's Parent(s) in the Household
245,MARSTAT_PAR,Derived: Legal Marital Status of Child's Parent(s) in the Household
246,MARCOH_RESP,"Derived: Marital/Cohabitation Status of NSCH Respondent 247 MARSTAT_ Num 8 MARSTAT. Derived: Legal Marital Status of NSCH Respondent RESP 248 K9Q18 Num 3 K9Q18_. Would you say that your relationship is completely happy, very happy, fairly happy, or not too happy? 249 K9Q20 Num 3 K7Q12_. Would you say that, in general, [[S.C.]'s [MOTHER TYPE]'s / your] health is excellent, very good, good, fair, or poor? 250 K9Q21 Num 3 K7Q12_. Would you say that, in general, [[S.C.]'s [FATHER TYPE]'s / your] health is excellent, very good, good, fair, or poor? 251 K9Q22 Num 3 K7Q12_. Would you say that, in general, your health is excellent, very good, good, fair, or poor? (non-parent respondent) 252 K9Q23 Num 3 K7Q12_. Would you say that, in general, [[S.C.]'s [MOTHER TYPE]'s / your] mental and emotional health is excellent, very good, good, fair, or poor? 253 K9Q24 Num 3 K7Q12_. Would you say that, in general, [[S.C.]'s [FATHER TYPE]'s / your] mental and emotional health is excellent, very good, good, fair, or poor? 254 K9Q25 Num 3 K7Q12_. Would you say that, in general, your mental and emotional health is excellent, very good, good, fair, or poor? (non-parent respondent) 255 K9Q30 Num 3 K6Q60_. During the past week, on how many days did [you / [S.C.]'s [MOTHER TYPE]] exercise, play sports, or participate in physical activity for at least 20 minutes that made [you/her] sweat and breathe hard? 256 K9Q31 Num 3 K6Q60_. During the past week, on how many days did [you / [S.C.]'s [FATHER TYPE]] exercise, play sports, or participate in physical activity for at least 20 minutes that made [you/him] sweat and breathe hard? 257 K9Q32 Num 3 K6Q60_. During the past week, on how many days did you exercise, play sports, or participate in physical activity for at least 20 minutes that made you sweat and breathe hard? (non-parent respondent) 258 K9Q40 Num 3 K2Q19_. Does anyone living in your household use cigarettes, cigars, or pipe tobacco? 259 K9Q41 Num 3 K2Q19_. Does anyone smoke inside [S.C.]'s home? 260 K10Q11 Num 3 K2Q19_. Do sidewalks or walking paths exist in your neighborhood? 261 K10Q12 Num 3 K2Q19_. Does a park or playground area exist in your neighborhood? 262 K10Q13 Num 3 K2Q19_. Does a recreation center, community center, or boys' or girls' club exist in your community? 263 K10Q14 Num 3 K2Q19_. Does a library or bookmobile exist in your community? 264 K10Q20 Num 3 K2Q19_. In your neighborhood, is there litter or garbage on the street or sidewalk? 265 K10Q22 Num 3 K2Q19_. How about poorly kept or [dilapidated/rundown] housing? 266 K10Q23 Num 3 K2Q19_. How about vandalism such as broken windows or graffiti? H:\Data\NSCH 2007\PUF01\create_formatted_frequencies.lst 2007 NSCH 7 Public Use File Variables The CONTENTS Procedure Variables in Creation Order # Variable Type Len Format Label 267 K10Q30 Num 3 K10Q30_. ""People in this neighborhood help each other out."" Would you say that you...? 268 K10Q31 Num 3 K10Q30_. ""We watch out for each other's children in this neighborhood."" Would you say that you...? 269 K10Q32 Num 3 K10Q30_. ""There are people I can count on in this neighborhood."" Would you say that you...? 270 K10Q34 Num 3 K10Q30_. ""If my child were outside playing and got hurt or scared, there are adults nearby who I trust to help my child."" Would you say that you...? 271 K10Q40 Num 3 K10Q40_. How often do you feel [S.C.] is safe in your community or neighborhood? 272 K10Q41 Num 3 K10Q40_. How often do you feel [he/she] is safe at school? 273 HISPANIC Num 3 HISPANIC. Derived -Edited K11Q01 after Back Coding Other Race Response 274 RACER Num 8 RACER. Race classification for all states (White,Black,Mutiracial,Other) 275 RACE_HI Num 8 RACEHI. Race classification for Hawaii 276 RACEASIA Num 8 RACEASN. Race classification of target child with Asian specification for select states 277 RACEAIAN Num 8 RACENAAN. Race classification of target child with American Indian/Alaskan Native specification for select states 278 K11Q03R Num 8 K2Q19_. At any time during the past 12 months, did SC receive services from any Indian Health Service hospital or clinic? [for states ALASKA ARIZONA MONTANA NEW MEXICO NORTH DAKOTA OKLAHOMA SOUTH DAKOTA] 279 EDUC_MOMR Num 8 EDUCATIONR. What is the highest grade or year of school [you have / [S.C.]'s [MOTHER TYPE] has] completed? 280 EDUC_DADR Num 8 EDUCATIONR. What is the highest grade or year of school [you have / [S.C.]'s [FATHER TYPE] has] completed? 281 EDUC_RESR Num 8 EDUCATIONR. What is the highest grade or year of school you have completed? (non-parent respondent) 282 K11Q30 Num 3 K2Q19_. [Were you / Was [S.C.]'s [MOTHER TYPE]] born in the United States? 283 K11Q31 Num 3 K2Q19_. [Were you / Was [S.C.]'s [FATHER TYPE]] born in the United States? 284 K11Q32 Num 3 K2Q19_. Were you born in the United States? (non-parent respondent) 285 K11Q33 Num 3 K2Q19_. And how about [S.C.]? (born in the United States) 286 K11Q34AR Num 8 K11Q34AR. How long [have you / has [S.C.]'s [MOTHER TYPE]] been in the United States? -Standardized to Years 287 K11Q35AR Num 8 K11Q35AR. How long [have you / has [S.C.]'s [FATHER TYPE]] been in the United States? -Standardized to Years 288 K11Q36AR Num 8 K11Q36AR. How long have you been in the United States? (non-parent respondent) -Standardized to Years 289 K11Q37AR Num 8 K11Q37AR. How long has [S.C.] been in the United States? -Standardized to Years 290 K11Q43R Num 8 K11Q43R. How many times has [S.C.] ever moved to a new address? 291 K11Q50 Num 3 K2Q19_. Was anyone in the household employed at least 50 weeks out of the past 52 weeks? 292 POVERTY_ Num 3 POVERTY_LEVELR. Derived -Poverty Level of this Household Based on DHHS Poverty Guidelines -8 Categories LEVELR 293 K11Q60 Num 3 K2Q19_. At any time during the past 12 months, even for one month, did anyone in this household receive any cash assistance from a state or county welfare program, such as [state TANF name]? 294 K11Q61 Num 3 K2Q19_. During the past 12 months, did [[S.C.] / any child in the household] receive Food Stamps? 295 K11Q62 Num 3 K2Q19_. During the past 12 months, did [[S.C.] / any child in the household] receive free or reduced-cost breakfasts or lunches at school? 296 OTH_LANG Num 3 OTH_LANG. Derived -Interview Conducted in Language Other than English 297 SUMMER Num 3 LANG1_. Derived -Interview Was Completed in June, July, or August 298 NSCHWT Num 8 NSCH Final Weight H:\Data\NSCH 2007\PUF01\create_formatted_frequencies.ls"
247,MARSTAT_RESP,
248,K9Q18,"Would you say that your relationship is completely happy, very happy, fairly happy, or not too happy?"
249,K9Q20,"Would you say that, in general, [[S.C.]'s [MOTHER TYPE]'s / your] health is excellent, very good, good, fair, or poor?"
